

제목 : 2023년 01월 12일 출발조교현황

---------------------------------------------------------------------
   소속조 조번   마명              기승자               비고 
---------------------------------------------------------------------
     1조  9      에이펙스          최범현(기수)         양호               
     1조  15     라온아메리칸      김정준(기수)         양호               
     1조  17     라온점프          김정준(기수)         양호               
     1조  18     라온더찰리        최범현(기수)         양호               
     1조  20     라온더하이맨      박태종(기수)         출발자세불량       
     1조  29     문학시바          김태희(기수)         양호               
     1조  37     라온시티걸        최범현(기수)         양호               
     2조  11     엑톤질주          조상범(기수)         양호               
     2조  17     그랜드대로        박병윤(기수)         진입불량           
     2조  20     사랑다모아        조상범(기수)         양호               
     3조  2      너트플레이        장세현(주로조교)     양호               
     3조  20     김천영웅          장세현(주로조교)     양호               
     4조  40     매니킹            송석현(주로조교)     진입불량           
     5조  12     티즈블랙          오수철(기수)         양호               
     5조  17     빅스고            박태종(기수)         양호               
     5조  18     동행퍼스트        박태종(기수)         양호               
     6조  7      새내비바          이혁(기수)           양호               
     6조  9      원펀치            김창환(주로조교)     출발불량           
     6조  11     강력한지금        이혁(기수)           진입불량           
     6조  13     새내황제          이용호(기수)         양호               
     6조  14     용비퀸            조상범(기수)         진입불량           
     6조  21     스마티글로리      장추열(기수)         양호               
     6조  24     실버부스터        김창환(주로조교)     양호               
     7조  2      베스트레이디      조만근(외국인/트랙라이더) 양호               
     7조  3      정문파파고        조재로(기수)         양호               
     7조  7      슈발도리앙        정정희(기수)         진입불량           
     7조  11     이다나은          송재철(기수)         양호               
     7조  15     사려니퀸          홍민기(주로조교)     출발자세불량       
     7조  18     원더풀남촌        보파나(외국인/트랙라이더) 양호               
     7조  25     매직모카신        조상범(기수)         양호               
     7조  30     그린스펙터        조상범(기수)         양호               
     8조  7      티즈헌터          원동준(주로조교)     양호               
     8조  11     유니콘킹덤        원동준(주로조교)     양호               
     8조  14     큐피드시크        김용근(기수)         양호               
     8조  22     송암누리          이현(주로조교)       양호               
     9조  2      이너피스          이동하(기수)         양호               
     9조  5      컴플리트스텝      정영훈(주로조교)     출발자세불량       
     9조  7      퍼미션투윈        장별(주로조교)       양호               
     9조  35     최고레이스        안토니오(기수)       양호               
    10조  3      원평타운          장추열(기수)         양호               
    10조  6      리버태양          윤태혁(기수)         양호               
    10조  8      네이비크롬        이동국(기수)         양호               
    10조  12     황우강자          하영웅(외국인/트랙라이더) 양호               
    10조  13     원평코드          안토니오(기수)       양호               
    10조  26     승부사            장추열(기수)         양호               
    10조  28     문학스톰          함완식(기수)         양호               
    10조  31     원평광야          박태종(기수)         양호               
    10조  35     터프여제          김철호(기수)         양호               
    10조  36     원평스카이        황순도(기수)         양호               
    10조  39     마이원            하영웅(외국인/트랙라이더) 양호               
    11조  4      아임포스원        박명규(주로조교)     양호               
    11조  21     피엔에스갬블      박명규(주로조교)     양호               
    11조  26     질풍오름          하정훈(기수)         양호               
    11조  27     투투키튼          김기원(주로조교)     양호               
    11조  30     메니윈            하정훈(기수)         진입불량           
    11조  32     브라이트위너      이형권(주로조교)     양호               
    11조  34     힐링헤이븐        김정현(주로조교)     양호               
    12조  2      검이불루          송재철(기수)         양호               
    12조  4      로드반            이혁(기수)           출발자세불량       
    13조  16     루비어게인        하리(외국인/트랙라이더) 양호               
    13조  18     히어로강자        최원준(기수)         진입불량           
    13조  28     비트업            하리(외국인/트랙라이더) 진입불량           
    14조  2      불의여왕          김정준(기수)         진입불량           
    14조  6      스카이망치        윤태혁(기수)         양호               
    14조  10     영영삭스          최범현(기수)         양호               
    14조  17     파워풀비전        쿠날(외국인/트랙라이더) 양호               
    14조  20     타이탄삭스        윤태혁(기수)         양호               
