rcity,grade,distance,rec,races,bet,refund,hit,refund_rate,roi,sample_from,sample_to
서울,2등급,1600,A4,18,10800,13100.0,7,1.212962962962963,0.21296296296296297,20231201,20251221
서울,2등급,1800,rBOX4,21,8400,14070.0,6,1.675,0.675,20231201,20251221
서울,2등급,2000,rBOX4,21,8400,25450.0,7,3.0297619047619047,2.0297619047619047,20231201,20251221
서울,국3등급,1200,A4,32,19200,40530.0,8,2.1109375,1.1109375,20231201,20251221
서울,국3등급,1400,A6,32,48000,93780.0,14,1.95375,0.95375,20231201,20251221
서울,국3등급,1600,rBOX4,20,8000,38580.0,8,4.8225,3.8225,20231201,20251221
서울,국3등급,1800,rBOX4,46,18400,25640.0,13,1.3934782608695653,0.3934782608695652,20231201,20251221
서울,국4등급,1200,A5,53,53000,60940.0,20,1.149811320754717,0.14981132075471698,20231201,20251221
서울,국4등급,1300,rBOX4,26,10400,27100.0,7,2.605769230769231,1.6057692307692308,20231201,20251221
서울,국4등급,1400,A4,80,48000,133590.0,28,2.783125,1.783125,20231201,20251221
서울,국4등급,1600,rBOX4,43,17200,23160.0,10,1.3465116279069766,0.34651162790697676,20231201,20251221
서울,국4등급,1700,rBOX4,39,15600,24380.0,10,1.5628205128205128,0.5628205128205128,20231201,20251221
서울,국4등급,1800,rBOX5,35,35000,45050.0,12,1.2871428571428571,0.28714285714285714,20231201,20251221
서울,국5등급,1200,A5,123,123000,342990.0,34,2.7885365853658537,1.7885365853658537,20231201,20251221
서울,국5등급,1300,A4,146,87600,137430.0,50,1.5688356164383561,0.5688356164383561,20231201,20251221
서울,국5등급,1400,A4,141,84600,192920.0,54,2.2803782505910166,1.2803782505910166,20231201,20251221
서울,국5등급,1600,rBOX4,1,400,2630.0,1,6.575,5.575,20231201,20251221
서울,국5등급,1700,A6,73,109500,205680.0,33,1.8783561643835616,0.8783561643835617,20231201,20251221
서울,국5등급,1800,rBOX4,24,9600,40190.0,11,4.186458333333333,3.1864583333333334,20231201,20251221
서울,국6등급,1200,A5,23,23000,48420.0,14,2.1052173913043477,1.105217391304348,20231201,20251221
서울,국6등급,1300,rBOX4,107,42800,99620.0,30,2.3275700934579437,1.327570093457944,20231201,20251221
서울,국6등급,1400,rBOX4,63,25200,36060.0,21,1.430952380952381,0.430952380952381,20231201,20251221
