rcity,grade,distance,rec,races,bet,refund,hit,refund_rate,roi,sample_from,sample_to
부산,2등급,1800,A5,15,15000,9840.0,3,0.656,-0.344,20231201,20251221
부산,2등급,1800,A6,15,22500,45470.0,5,2.020888888888889,1.020888888888889,20231201,20251221
부산,2등급,1800,rBOX4,15,6000,570.0,1,0.095,-0.905,20231201,20251221
부산,2등급,1800,rBOX5,15,15000,570.0,1,0.038,-0.962,20231201,20251221
부산,2등급,1800,rBOX6,15,30000,24740.0,6,0.8246666666666667,-0.17533333333333334,20231201,20251221
부산,2등급,2000,A4,12,7200,12590.0,3,1.7486111111111111,0.7486111111111111,20231201,20251221
부산,2등급,2000,A5,12,12000,12590.0,3,1.0491666666666666,0.049166666666666664,20231201,20251221
부산,2등급,2000,A6,12,18000,47850.0,5,2.658333333333333,1.6583333333333334,20231201,20251221
부산,2등급,2000,rBOX4,12,4800,12590.0,3,2.622916666666667,1.6229166666666666,20231201,20251221
부산,2등급,2000,rBOX5,12,12000,27560.0,5,2.296666666666667,1.2966666666666666,20231201,20251221
부산,2등급,2000,rBOX6,12,24000,27560.0,5,1.1483333333333334,0.14833333333333334,20231201,20251221
부산,국3등급,1200,A4,11,6600,3880.0,3,0.5878787878787879,-0.4121212121212121,20231201,20251221
부산,국3등급,1200,A5,11,11000,3880.0,3,0.3527272727272727,-0.6472727272727272,20231201,20251221
부산,국3등급,1200,A6,11,16500,8460.0,4,0.5127272727272727,-0.48727272727272725,20231201,20251221
부산,국3등급,1200,rBOX4,11,4400,819.9999999999999,1,0.18636363636363634,-0.8136363636363636,20231201,20251221
부산,국3등급,1200,rBOX5,11,11000,3880.0,3,0.3527272727272727,-0.6472727272727272,20231201,20251221
부산,국3등급,1200,rBOX6,11,22000,5470.0,4,0.24863636363636363,-0.7513636363636363,20231201,20251221
부산,국3등급,1400,A4,16,9600,30640.0,4,3.191666666666667,2.191666666666667,20231201,20251221
부산,국3등급,1400,A5,16,16000,30640.0,4,1.915,0.915,20231201,20251221
부산,국3등급,1400,A6,16,24000,32250.0,5,1.34375,0.34375,20231201,20251221
부산,국3등급,1400,rBOX4,16,6400,29300.0,3,4.578125,3.578125,20231201,20251221
부산,국3등급,1400,rBOX5,16,16000,33050.0,5,2.065625,1.065625,20231201,20251221
부산,국3등급,1400,rBOX6,16,32000,98000.0,7,3.0625,2.0625,20231201,20251221
부산,국3등급,1600,A4,12,7200,1450.0,2,0.2013888888888889,-0.7986111111111112,20231201,20251221
부산,국3등급,1600,A5,12,12000,1450.0,2,0.12083333333333333,-0.8791666666666667,20231201,20251221
