경마장,경주일,년월,경주번호,등급,경주거리,출주두수,신마수,정산여부,actual_top3,m_rank_top4,r_pop_top4,m_rank_top6,r_pop_top6,overlap_1to4,m_BOX4_hit,m_BOX4_refund,m_BOX4_bet,r_BOX4_hit,r_BOX4_refund,r_BOX4_bet,m_BOX6_hit,m_BOX6_refund,m_BOX6_bet,r_BOX6_hit,r_BOX6_refund,r_BOX6_bet
부산,20231215,202312,6,국5등급,1400.0,11,0,SETTLED,"3,5,8","10,8,3,11","10,8,3,11","10,8,3,11,9,1","10,8,3,11,1,9",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231215,202312,7,혼4등급,1600.0,11,0,SETTLED,"2,9,10","11,4,9,2","11,4,9,2","11,4,9,2,5,10","11,4,9,2,3,5",4,0,0.0,400,0,0.0,400,1,36500.0,2000,0,0.0,2000
부산,20231215,202312,8,혼3등급,1800.0,11,0,SETTLED,"1,5,6","4,7,2,1","4,7,2,6","4,7,2,1,6,10","4,7,2,6,1,9",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231215,202312,9,혼4등급,1600.0,10,0,SETTLED,"2,6,9","9,1,6,8","9,1,8,6","9,1,6,8,3,4","9,1,8,6,4,3",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231217,202312,1,국6등급,1400.0,10,0,SETTLED,"4,7,10","7,4,2,10","7,4,2,10","7,4,2,10,8,3","7,4,2,10,8,3",4,1,570.0,400,1,570.0,400,1,570.0,2000,1,570.0,2000
부산,20231217,202312,2,국5등급,1200.0,11,0,SETTLED,"2,5,8","2,8,7,11","2,1,7,11","2,8,7,11,3,4","2,1,7,11,4,3",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231217,202312,3,국5등급,1300.0,11,0,SETTLED,"2,4,7","4,2,11,9","4,2,11,10","4,2,11,9,3,10","4,2,11,10,9,3",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231217,202312,4,국5등급,1600.0,11,0,SETTLED,"4,6,9","11,7,3,8","11,7,8,3","11,7,3,8,6,9","11,7,8,3,4,6",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231217,202312,5,국4등급,1800.0,11,0,SETTLED,"1,2,4","4,2,1,6","4,2,1,6","4,2,1,6,3,9","4,2,1,6,9,3",4,1,3210.0,400,1,3210.0,400,1,3210.0,2000,1,3210.0,2000
부산,20231217,202312,6,2등급,1200.0,11,0,SETTLED,"2,4,8","5,10,4,2","5,2,10,7","5,10,4,2,7,6","5,2,10,7,1,6",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231222,202312,2,국6등급,1300.0,9,0,SETTLED,"5,7,8","1,5,7,2","1,5,7,2","1,5,7,2,3,8","1,5,7,2,3,8",4,0,0.0,400,0,0.0,400,1,6909.999999999999,2000,1,6909.999999999999,2000
부산,20231222,202312,3,국5등급,1300.0,9,0,SETTLED,"1,2,3","1,3,2,6","1,3,6,2","1,3,2,6,7,9","1,3,6,2,7,9",4,1,620.0,400,1,620.0,400,1,620.0,2000,1,620.0,2000
부산,20231222,202312,4,국5등급,1200.0,10,0,SETTLED,"2,4,7","4,9,7,10","7,4,9,5","4,9,7,10,6,5","7,4,9,5,6,10",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231222,202312,5,국4등급,1400.0,9,0,SETTLED,"3,5,9","9,5,1,8","9,5,1,8","9,5,1,8,2,6","9,5,1,8,2,6",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
