경마장,races,TOTAL_bet,TOTAL_refund,r_BOX4_bet,r_BOX4_refund,r_BOX4_hit,m_BOX4_bet,m_BOX4_refund,m_BOX4_hit,r_BOX6_bet,r_BOX6_refund,r_BOX6_hit,m_BOX6_bet,m_BOX6_refund,m_BOX6_hit,TOTAL_refund_rate,TOTAL_roi,r_BOX4_refund_rate,r_BOX4_roi,m_BOX4_refund_rate,m_BOX4_roi,r_BOX6_refund_rate,r_BOX6_roi,m_BOX6_refund_rate,m_BOX6_roi
부산,1204,9632000.0,14640090.0,2408000.0,4064100.0,261,2408000.0,3828650.0,244,2408000.0,3140070.0,605,2408000.0,3607270.0,569,1.5199428986710963,0.5199428986710963,1.687749169435216,0.6877491694352159,1.5899709302325582,0.5899709302325581,1.304015780730897,0.304015780730897,1.4980357142857144,0.4980357142857143
서울,1758,14064000.0,19511740.0,3516000.0,5797200.0,394,3516000.0,5506350.0,386,3516000.0,4143410.0,910,3516000.0,4064780.0,869,1.387353526734926,0.38735352673492607,1.6488054607508533,0.6488054607508532,1.5660836177474402,0.5660836177474403,1.1784442548350398,0.1784442548350398,1.156080773606371,0.15608077360637088
