년월,races,TOTAL_bet,TOTAL_refund,r_BOX4_bet,r_BOX4_refund,r_BOX4_hit,m_BOX4_bet,m_BOX4_refund,m_BOX4_hit,r_BOX6_bet,r_BOX6_refund,r_BOX6_hit,m_BOX6_bet,m_BOX6_refund,m_BOX6_hit,TOTAL_refund_rate,TOTAL_roi,r_BOX4_refund_rate,r_BOX4_roi,m_BOX4_refund_rate,m_BOX4_roi,r_BOX6_refund_rate,r_BOX6_roi,m_BOX6_refund_rate,m_BOX6_roi
202312,152,1216000.0,1853580.0,304000.0,424400.0,27,304000.0,720850.0,32,304000.0,317220.0,66,304000.0,391110.0,72,1.5243256578947368,0.5243256578947368,1.3960526315789474,0.3960526315789474,2.371217105263158,1.3712171052631579,1.0434868421052632,0.04348684210526316,1.2865460526315788,0.28654605263157895
202401,121,968000.0,1107160.0,242000.0,471450.0,21,242000.0,169450.0,11,242000.0,215980.0,54,242000.0,250280.0,40,1.1437603305785125,0.1437603305785124,1.9481404958677686,0.9481404958677686,0.7002066115702479,-0.29979338842975206,0.8924793388429753,-0.1075206611570248,1.0342148760330578,0.03421487603305785
202402,82,656000.0,495300.0,164000.0,236600.0,16,164000.0,75300.0,8,164000.0,127150.0,30,164000.0,56250.0,18,0.755030487804878,-0.24496951219512195,1.4426829268292682,0.4426829268292683,0.45914634146341465,-0.5408536585365854,0.7753048780487805,-0.22469512195121952,0.3429878048780488,-0.6570121951219512
202403,156,1248000.0,1259800.0,312000.0,315850.0,30,312000.0,430800.0,20,312000.0,291570.0,75,312000.0,221580.0,60,1.0094551282051283,0.009455128205128204,1.0123397435897437,0.01233974358974359,1.3807692307692307,0.38076923076923075,0.9345192307692308,-0.06548076923076923,0.7101923076923077,-0.2898076923076923
202404,125,1000000.0,1179160.0,250000.0,342250.0,27,250000.0,275000.0,27,250000.0,278810.0,63,250000.0,283100.0,55,1.17916,0.17916,1.369,0.369,1.1,0.1,1.11524,0.11524,1.1324,0.1324
202405,133,1064000.0,1249130.0,266000.0,211700.0,26,266000.0,330850.0,28,266000.0,326190.0,75,266000.0,380390.0,74,1.1739943609022556,0.17399436090225565,0.7958646616541354,-0.20413533834586467,1.243796992481203,0.243796992481203,1.2262781954887219,0.2262781954887218,1.4300375939849623,0.4300375939849624
202406,145,1160000.0,1554270.0,290000.0,515500.0,36,290000.0,477100.0,34,290000.0,303770.0,78,290000.0,257900.0,71,1.3398879310344827,0.3398879310344828,1.7775862068965518,0.7775862068965518,1.6451724137931034,0.6451724137931034,1.0474827586206896,0.04748275862068965,0.8893103448275862,-0.11068965517241379
202407,104,832000.0,1118950.0,208000.0,168400.0,17,208000.0,237600.0,19,208000.0,350350.0,47,208000.0,362600.0,49,1.344891826923077,0.3448918269230769,0.8096153846153846,-0.19038461538461537,1.1423076923076922,0.1423076923076923,1.684375,0.684375,1.7432692307692308,0.7432692307692308
202408,127,1016000.0,840580.0,254000.0,235900.0,29,254000.0,202600.0,25,254000.0,172250.0,59,254000.0,229830.0,63,0.8273425196850394,-0.17265748031496064,0.9287401574803149,-0.07125984251968503,0.7976377952755905,-0.20236220472440944,0.6781496062992126,-0.3218503937007874,0.9048425196850394,-0.09515748031496063
202409,93,744000.0,1472200.0,186000.0,666950.0,24,186000.0,276900.0,22,186000.0,320590.0,43,186000.0,207760.0,40,1.978763440860215,0.978763440860215,3.585752688172043,2.585752688172043,1.488709677419355,0.48870967741935484,1.7236021505376344,0.7236021505376344,1.116989247311828,0.11698924731182796
202410,109,872000.0,1163490.0,218000.0,385700.0,18,218000.0,284700.0,16,218000.0,227660.0,52,218000.0,265430.0,54,1.3342775229357797,0.33427752293577984,1.7692660550458716,0.7692660550458715,1.3059633027522937,0.30596330275229355,1.0443119266055045,0.044311926605504585,1.2175688073394495,0.21756880733944955
202411,121,968000.0,969090.0,242000.0,343700.0,37,242000.0,280050.0,35,242000.0,214030.0,63,242000.0,131310.0,55,1.0011260330578513,0.0011260330578512397,1.4202479338842975,0.42024793388429754,1.1572314049586776,0.15723140495867768,0.8844214876033057,-0.11557851239669421,0.542603305785124,-0.45739669421487605
202412,120,960000.0,1501190.0,240000.0,381650.0,21,240000.0,492400.0,24,240000.0,262140.0,51,240000.0,365000.0,48,1.5637395833333334,0.5637395833333333,1.5902083333333332,0.5902083333333333,2.0516666666666667,1.0516666666666667,1.09225,0.09225,1.5208333333333333,0.5208333333333334
202501,112,896000.0,1525450.0,224000.0,319700.0,20,224000.0,336750.0,18,224000.0,339840.0,54,224000.0,529160.0,49,1.7025111607142858,0.7025111607142858,1.4272321428571428,0.42723214285714284,1.5033482142857142,0.5033482142857143,1.5171428571428571,0.5171428571428571,2.3623214285714287,1.3623214285714285
202502,82,656000.0,897740.0,164000.0,279650.0,12,164000.0,214600.0,13,164000.0,231080.0,38,164000.0,172410.0,34,1.3685060975609755,0.36850609756097563,1.7051829268292682,0.7051829268292683,1.3085365853658537,0.30853658536585366,1.4090243902439024,0.4090243902439024,1.051280487804878,0.051280487804878046
202503,125,1000000.0,1562140.0,250000.0,448300.0,26,250000.0,482350.0,26,250000.0,260710.0,60,250000.0,370780.0,58,1.56214,0.56214,1.7932,0.7932,1.9294,0.9294,1.04284,0.04284,1.48312,0.48312
202504,105,840000.0,741970.0,210000.0,187850.0,18,210000.0,187850.0,18,210000.0,205220.0,42,210000.0,161050.0,37,0.883297619047619,-0.11670238095238095,0.8945238095238095,-0.10547619047619047,0.8945238095238095,-0.10547619047619047,0.9772380952380952,-0.02276190476190476,0.7669047619047619,-0.2330952380952381
