ym,r_pop,total,top1,top1_pct
202603,1,171,40,23.39
202603,2,171,23,13.45
202603,3,170,23,13.53
202603,4,168,16,9.52
202603,5,168,11,6.55
202603,6,166,10,6.02
202603,7,163,8,4.91
202603,8,158,12,7.59
202603,9,154,4,2.60
202603,10,147,4,2.72
202603,11,120,2,1.67
202603,12,48,1,2.08
