race_key,경마장,경주일,년월,경주번호,등급,경주거리,신마수,삼복승식배당율,실제_top3_마번,r_pop_top4,m_rank_top4,r_pop_top6,m_rank_top6,r_BOX4_unit,m_BOX4_unit,r_BOX6_unit,m_BOX6_unit,r_BOX4_bet,r_BOX4_hit,r_BOX4_refund,m_BOX4_bet,m_BOX4_hit,m_BOX4_refund,r_BOX6_bet,r_BOX6_hit,r_BOX6_refund,m_BOX6_bet,m_BOX6_hit,m_BOX6_refund,TOTAL_bet,TOTAL_refund
부산_20231210_3,부산,20231210,202312,3,국5등급,1600.0,0,13.4,"2,5,11","2,9,10,3","2,9,3,7","2,9,10,3,5,11","2,9,3,7,5,11",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,1340.0,2000.0,1,1340.0,8000.0,2680.0
부산_20231210_4,부산,20231210,202312,4,국4등급,1200.0,1,13.6,"1,4,6","11,1,4,6","1,4,6,7","11,1,4,6,7,8","1,4,6,7,9,2",500,500,100,100,2000.0,1,6800.0,2000.0,1,6800.0,2000.0,1,1360.0,2000.0,1,1360.0,8000.0,16320.0
부산_20231210_5,부산,20231210,202312,5,국OPEN,1400.0,0,75.9,"4,8,9","9,14,7,4","9,14,7,4","9,14,7,4,8,6","9,14,7,4,8,6",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,7590.000000000001,2000.0,1,7590.000000000001,8000.0,15180.000000000002
부산_20231210_6,부산,20231210,202312,6,국OPEN,1800.0,0,7.9,"6,8,11","8,13,6,11","8,6,7,13","8,13,6,11,7,2","8,6,7,13,11,12",500,500,100,100,2000.0,1,3950.0,2000.0,0,0.0,2000.0,1,790.0,2000.0,1,790.0,8000.0,5530.0
부산_20231215_5,부산,20231215,202312,5,국5등급,1200.0,0,407.8,"1,4,10","10,3,1,2","10,1,3,2","10,3,1,2,5,6","10,1,3,2,4,5",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,40780.0,8000.0,40780.0
부산_20231215_6,부산,20231215,202312,6,국5등급,1400.0,0,88.8,"3,5,8","10,8,3,11","10,8,3,11","10,8,3,11,1,9","10,8,3,11,9,1",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231215_7,부산,20231215,202312,7,혼4등급,1600.0,0,365.0,"2,9,10","11,4,9,2","11,4,9,2","11,4,9,2,3,5","11,4,9,2,5,10",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,36500.0,8000.0,36500.0
부산_20231215_8,부산,20231215,202312,8,혼3등급,1800.0,0,105.0,"1,5,6","4,7,2,6","4,7,2,1","4,7,2,6,1,9","4,7,2,1,6,10",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231215_9,부산,20231215,202312,9,혼4등급,1600.0,0,50.8,"2,6,9","9,1,8,6","9,1,6,8","9,1,8,6,4,3","9,1,6,8,3,4",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231217_1,부산,20231217,202312,1,국6등급,1400.0,0,5.7,"4,7,10","7,4,2,10","7,4,2,10","7,4,2,10,8,3","7,4,2,10,8,3",500,500,100,100,2000.0,1,2850.0,2000.0,1,2850.0,2000.0,1,570.0,2000.0,1,570.0,8000.0,6840.0
부산_20231217_2,부산,20231217,202312,2,국5등급,1200.0,0,144.2,"2,5,8","2,1,7,11","2,8,7,11","2,1,7,11,4,3","2,8,7,11,3,4",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231217_3,부산,20231217,202312,3,국5등급,1300.0,0,108.1,"2,4,7","4,2,11,10","4,2,11,9","4,2,11,10,9,3","4,2,11,9,3,10",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231217_4,부산,20231217,202312,4,국5등급,1600.0,0,65.8,"4,6,9","11,7,8,3","11,7,3,8","11,7,8,3,4,6","11,7,3,8,6,9",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231217_5,부산,20231217,202312,5,국4등급,1800.0,0,32.1,"1,2,4","4,2,1,6","4,2,1,6","4,2,1,6,9,3","4,2,1,6,3,9",500,500,100,100,2000.0,1,16050.0,2000.0,1,16050.0,2000.0,1,3210.0,2000.0,1,3210.0,8000.0,38520.0
부산_20231217_6,부산,20231217,202312,6,2등급,1200.0,0,139.5,"2,4,8","5,2,10,7","5,10,4,2","5,2,10,7,1,6","5,10,4,2,7,6",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231222_2,부산,20231222,202312,2,국6등급,1300.0,0,69.1,"5,7,8","1,5,7,2","1,5,7,2","1,5,7,2,3,8","1,5,7,2,3,8",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,6909.999999999999,2000.0,1,6909.999999999999,8000.0,13819.999999999998
부산_20231222_3,부산,20231222,202312,3,국5등급,1300.0,0,6.2,"1,2,3","1,3,6,2","1,3,2,6","1,3,6,2,7,9","1,3,2,6,7,9",500,500,100,100,2000.0,1,3100.0,2000.0,1,3100.0,2000.0,1,620.0,2000.0,1,620.0,8000.0,7440.0
부산_20231222_4,부산,20231222,202312,4,국5등급,1200.0,0,24.1,"2,4,7","7,4,9,5","4,9,7,10","7,4,9,5,6,10","4,9,7,10,6,5",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231222_5,부산,20231222,202312,5,국4등급,1400.0,0,23.0,"3,5,9","9,5,1,8","9,5,1,8","9,5,1,8,2,6","9,5,1,8,2,6",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231222_6,부산,20231222,202312,6,국4등급,1400.0,0,52.9,"2,8,10","10,8,6,4","10,8,6,4","10,8,6,4,5,2","10,8,6,4,5,2",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,5290.0,2000.0,1,5290.0,8000.0,10580.0
부산_20231222_7,부산,20231222,202312,7,혼4등급,1800.0,0,307.7,"2,7,8","4,6,7,11","7,4,6,11","4,6,7,11,2,1","7,4,6,11,9,5",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231222_8,부산,20231222,202312,8,혼3등급,1600.0,1,101.4,"4,8,10","6,4,9,10","6,4,10,9","6,4,9,10,2,3","6,4,10,9,2,11",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231224_2,부산,20231224,202312,2,국6등급,1300.0,1,3.2,"6,7,8","6,8,7,4","6,8,7,4","6,8,7,4,9,1","6,8,7,4,9,1",500,500,100,100,2000.0,1,1600.0,2000.0,1,1600.0,2000.0,1,320.0,2000.0,1,320.0,8000.0,3840.0
부산_20231224_3,부산,20231224,202312,3,국6등급,1400.0,0,239.5,"2,9,11","2,3,8,6","2,3,8,6","2,3,8,6,9,11","2,3,8,6,9,5",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,23950.0,2000.0,0,0.0,8000.0,23950.0
부산_20231224_4,부산,20231224,202312,4,국6등급,1600.0,0,276.8,"4,9,10","9,2,6,5","9,2,6,5","9,2,6,5,3,10","9,2,6,5,10,7",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231224_5,부산,20231224,202312,5,국5등급,1800.0,0,15.5,"6,7,8","8,9,7,3","8,7,9,4","8,9,7,3,2,6","8,7,9,4,2,3",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,1550.0,2000.0,0,0.0,8000.0,1550.0
부산_20231224_6,부산,20231224,202312,6,국5등급,1400.0,1,31.6,"2,3,5","11,5,10,4","11,5,10,4","11,5,10,4,8,1","11,5,10,4,8,1",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
