경마장,조합개수,순위,전략keys,전략명,경주수,적중경주수,적중율,총베팅액,총환수액,이익금액,ROI,구멍수,프리셋
부산,6,3,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor12_3_7 + anchor1_23_46,"1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축,2축 / 3~7 삼쌍 + 1축(2~3) / 4~6 삼쌍",157,26,0.16560509554140126,879200.0,1563900.0,684700.0,1.778776160145587,56,
부산,6,4,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_57 + anchor12_3_7 + anchor1_25_trio,"1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~7 삼쌍 + 1축,2축 / 3~7 삼쌍 + 1축(2~5) 삼복",157,41,0.2611464968152866,832100.0,1479190.0,647090.0,1.7776589352241317,53,
부산,6,5,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor1_26 + anchor12_3_7,"1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(2~6) 삼쌍 + 1축,2축 / 3~7 삼쌍",157,27,0.17197452229299362,1099000.0,1952790.0,853790.0,1.7768789808917198,70,
서울부산 통합,2,0,anchor1_57_24 + anchor1_58_24,1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍,372,22,0.05913978494623656,781200.0,1082400.0,301200.0,1.3855606758832566,21,안정형
서울부산 통합,4,0,anchor1_57_24 + anchor1_24_58 + anchor1_58_24 + anchor1_25,1축(5~7) / 2~4 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍,372,57,0.1532258064516129,1674000.0,2171700.0,497700.0,1.2973118279569893,45,균형형
서울부산 통합,6,0,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor1_25_68 + anchor12_3_7,"1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(2~5) / 6~8 삼쌍 + 1축,2축 / 3~7 삼쌍",372,60,0.16129032258064516,2306400.0,2839380.0,532980.0,1.2310874089490114,62,공격형
서울부산 통합,1,1,anchor1_57_24,1축(5~7) / 2~4 삼쌍,372,19,0.051075268817204304,334800.0,519030.0,184230.0,1.550268817204301,9,
서울부산 통합,1,2,anchor1_58_24,1축(5~8) / 2~4 삼쌍,372,22,0.05913978494623656,446400.0,563370.0,116970.0,1.262029569892473,12,
서울부산 통합,1,3,anchor1_25,1축(2~5) 삼쌍,372,28,0.07526881720430108,446400.0,552990.0,106590.0,1.23877688172043,12,
서울부산 통합,1,4,anchor1_24_58,1축(2~4) / 5~8 삼쌍,372,23,0.06182795698924731,446400.0,536310.0,89910.0,1.2014112903225806,12,
서울부산 통합,1,5,anchor2_37_trifecta,2축(3~7) 삼쌍,372,22,0.05913978494623656,744000.0,842170.0,98170.0,1.1319489247311827,20,
서울부산 통합,2,1,anchor1_57_24 + anchor1_58_24,1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍,372,22,0.05913978494623656,781200.0,1082400.0,301200.0,1.3855606758832566,21,
서울부산 통합,2,2,anchor1_57_24 + anchor1_25,1축(5~7) / 2~4 삼쌍 + 1축(2~5) 삼쌍,372,36,0.0967741935483871,781200.0,1072020.0,290820.0,1.372273425499232,21,
서울부산 통합,2,3,anchor1_57_24 + anchor1_24_58,1축(5~7) / 2~4 삼쌍 + 1축(2~4) / 5~8 삼쌍,372,42,0.11290322580645161,781200.0,1055340.0,274140.0,1.3509216589861752,21,
서울부산 통합,2,4,anchor1_57_24 + anchor12_3_7,"1축(5~7) / 2~4 삼쌍 + 1축,2축 / 3~7 삼쌍",372,33,0.08870967741935484,520800.0,696650.0,175850.0,1.3376536098310292,14,
서울부산 통합,2,5,anchor1_57_24 + anchor1_25_trio,1축(5~7) / 2~4 삼쌍 + 1축(2~5) 삼복,372,68,0.1827956989247312,558000.0,721430.0,163430.0,1.2928853046594981,15,
