

제목 : 2022년 04월 28일 출발조교현황

---------------------------------------------------------------------
   소속조 조번   마명              기승자               비고 
---------------------------------------------------------------------
     1조  11     아르크투루스      웰링턴(주로조교)     양호               
     1조  28     베텔게우스        최시대(기수)         양호               
     1조  31     대호전설          웰링턴(주로조교)     양호               
     1조  43     화랑에이스        박재이(기수)         진입불량           
     1조  44     피스톨스타        박성식(주로조교)     진입불량           
     2조  1      동부스타          정도윤(기수)         양호               
     2조  3      영광의축제        정도윤(기수)         출발자세불량       
     2조  6      스파이스인디      전진구(기수)         양호               
     2조  7      스페셜히어로      다실바(기수)         양호               
     2조  10     회자인구          전진구(기수)         양호               
     2조  11     히트더로드        김도현(기수)         양호               
     2조  14     금보성            샤바즈 알람(주로조교) 양호               
     2조  21     히어로맨          샤바즈 알람(주로조교) 양호               
     2조  25     비케이마셜        유기현(주로조교)     출발자세불량       
     2조  28     톱메이트          김태현(기수)         양호               
     2조  29     풍운조화          전진구(기수)         양호               
     2조  32     비케이뉴문        조창욱(기수)         양호               
     2조  33     글로벌캐처        채상현(기수)         양호               
     2조  34     에코피아          다실바(기수)         양호               
     2조  37     스페셜투게더      박종승(주로조교)     양호               
     2조  41     행복한함안        박종승(주로조교)     양호               
     2조  43     골드캔디          김태현(기수)         양호               
     4조  1      래피드게임        조인권(기수)         양호               
     4조  9      날아라꿀단지      김동영(기수)         양호               
     4조  10     굿탱크            웨이(주로조교)       양호               
     4조  28     체인지백          김도현(기수)         양호               
     4조  32     판타스틱여걸      문영수(주로조교)     양호               
     4조  34     모닝뮤즈          김철호(기수)         출발자세불량       
     6조  3      전설의질주        아딜 모하매드(주로조교) 출발자세불량       
     6조  7      최강리사          아딜 모하매드(주로조교) 양호               
     6조  8      대호마            박성수(주로조교)     양호               
     6조  10     뷰티브라운        아딜 모하매드(주로조교) 양호               
     6조  15     바벨피닉스        이성재(기수)         양호               
     7조  2      최강마린          조인권(기수)         양호               
     7조  7      아이윌비프리      서현철(주로조교)     양호               
     7조  9      미라클선          다실바(기수)         양호               
     7조  10     퀸오브글로리      조인권(기수)         출발자세불량       
     8조  13     화랑스카이        유현명(기수)         출발자세불량       
     9조  1      호랑가시          김동영(기수)         출발자세불량       
     9조  5      하늘울림          송경윤(기수)         양호               
     9조  7      슈퍼크랙          박재이(기수)         양호               
     9조  11     아이러브한센      조인권(기수)         양호               
     9조  13     이터널히어로      채상현(기수)         양호               
     9조  17     함평맨            라니단싱(주로조교)   양호               
     9조  18     리즈원더풀        라니단싱(주로조교)   양호               
     9조  19     금빛스카이        채상현(기수)         양호               
     9조  24     센세이션파티      김태현(기수)         양호               
     9조  25     담양의신          이종석(주로조교)     진입불량           
     9조  27     선더킹            김태현(기수)         출발자세불량       
     9조  31     하늘질주          박재이(기수)         양호               
     9조  32     원더풀질주        라니단싱(주로조교)   양호               
