

제목 : 2022년 10월 06일 출발조교현황

---------------------------------------------------------------------
   소속조 조번   마명              기승자               비고 
---------------------------------------------------------------------
     1조  3      라온비트          최범현(기수)         양호               
     1조  9      에이펙스          민성재(주로조교)     양호               
     1조  12     라온더스퍼트      최범현(기수)         양호               
     1조  13     라온스파이크      김정준(기수)         양호               
     1조  16     라온더플래터      김정준(기수)         양호               
     1조  22     라온더골드        윤기묵(주로조교)     양호               
     1조  28     라온홀리데이      하리(외국인/트랙라이더) 양호               
     1조  38     라온더아리아      오수철(기수)         진입불량           
     2조  8      옥동공주          다비드(기수)         양호               
     2조  31     오섬스프링스      이현종(기수)         양호               
     2조  32     라스트콜          성낙일(주로조교)     양호               
     3조  1      골드윙            이기회(기수)         양호               
     3조  7      미사일캔디        이상규(기수)         양호               
     3조  8      피엔에스별        보파나(외국인/트랙라이더) 양호               
     3조  20     김천영웅          장세현(주로조교)     진입불량           
     3조  22     투혼기상          장세현(주로조교)     양호               
     4조  3      티파니블루        김인선(주로조교)     양호               
     4조  7      희망의찬가        조재로(기수)         양호               
     4조  8      시크릿왕자        오수철(기수)         양호               
     4조  19     걸작맨            오수철(기수)         양호               
     4조  33     파토스            최지현(외국인/트랙라이더) 양호               
     4조  38     하얀왕자          김태훈(기수)         양호               
     5조  2      금로열            임택열(주로조교)     양호               
     5조  14     럭키바운스        이동수(주로조교)     양호               
     5조  20     원더케이          유승완(기수)         양호               
     5조  34     서울태양          조만근(외국인/트랙라이더) 양호               
     5조  36     플라잉제스트      조만근(외국인/트랙라이더) 진입불량           
     6조  3      챈슬러            박을운(기수)         양호               
     6조  4      캐츠아이          박태종(기수)         양호               
     6조  8      섬싱로스트        이성옥(주로조교)     양호               
     6조  9      용비세상          김창환(주로조교)     양호               
     6조  10     용비코리아        김창환(주로조교)     진입불량           
     6조  19     내길의별          이성옥(주로조교)     양호               
     6조  20     새로운빛깔        김옥성(기수)         진입불량           
     6조  28     그린폭주          조한별(기수)         진입불량           
     6조  34     배다리공주        윤태혁(기수)         양호               
     6조  신마   용비천            김창환(주로조교)     진입불량           
     7조  3      정문파파고        김용근(기수)         양호               
     7조  30     그린스펙터        조재로(기수)         양호               
     8조  15     스피돔            신용민(주로조교)     양호               
     8조  22     송암누리          이현(주로조교)       양호               
     9조  2      이너피스          이동하(기수)         양호               
     9조  6      남산무적          정영훈(주로조교)     양호               
     9조  9      최강돌풍          김태현(주로조교)     양호               
     9조  10     터치나인          김용근(기수)         양호               
     9조  15     톱클래스          이동하(기수)         양호               
     9조  17     비전스타          이동하(기수)         양호               
     9조  24     나의나라          김용근(기수)         진입불량           
     9조  40     플라잉골드        이동하(기수)         양호               
    10조  4      원평광야          임다빈(기수)         양호               
    10조  10     문학송            임다빈(기수)         양호               
    10조  14     글로벌캡틴        하영웅(외국인/트랙라이더) 양호               
    10조  19     원평가속          함완식(기수)         양호               
    10조  28     두손판타스틱      하영웅(외국인/트랙라이더) 양호               
    10조  29     매직아워          함완식(기수)         양호               
    10조  33     문학앙코르        김수현(주로조교)     양호               
    10조  36     케이탑클래스      김진완(주로조교)     양호               
    10조  38     두손장군          하영웅(외국인/트랙라이더) 진입불량           
    11조  29     나올탱크          이형권(주로조교)     양호               
    11조  30     메니윈            칸(외국인/트랙라이더) 진입불량           
    12조  2      검이불루          박지훈(주로조교)     진입불량           
    12조  14     선라이팅          박지훈(주로조교)     양호               
    12조  25     제주의흑선        조재로(기수)         양호               
    12조  32     일마레            방춘식(기수)         출발자세불량       
    13조  21     최강나이스        김준영(외국인/트랙라이더) 양호               
    13조  24     함평호프          최원준(기수)         양호               
