

제목 : 2022년 10월 27일 출발조교현황

---------------------------------------------------------------------
   소속조 조번   마명              기승자               비고 
    31조  40     주몽천하          송재철(기수)         양호               
    32조  8      달맞이            정필화(주로조교)     양호               
    32조  20     테스메리          박병윤(기수)         진입불량           
    33조  2      빈체로킹          임다빈(기수)         양호               
    33조  5      은파챔피언        최명길(주로조교)     양호               
    33조  8      블루밍스타        빅투아르(기수)       진입불량           
    33조  10     건곤일척          빅투아르(기수)       양호               
    33조  11     유정챔프          김태희(기수)         양호               
    33조  16     선포레            문성혁(기수)         양호               
    33조  19     대승가온          양경태(주로조교)     양호               
    33조  21     금성크라운        문성혁(기수)         양호               
    33조  33     모스트스피드      김태희(기수)         양호               
    33조  36     티즈에너지        유승완(기수)         양호               
    33조  40     매직그레이스      빅투아르(기수)       양호               
    34조  8      선더프린스        이천호(주로조교)     양호               
    34조  23     호크프린스        조한별(기수)         윤승불량           
    34조  31     블랙모션          빅투아르(기수)       진입불량           
    34조  33     제이모션          정정희(기수)         출발불량           
    34조  38     원더풀슬루        칸(외국인/트랙라이더) 진입불량           
    35조  4      찬란한불꽃        이용호(기수)         양호               
    35조  9      원더풀위싱        이용호(기수)         양호               
    35조  12     더록선샤인        김태훈(기수)         양호               
    35조  13     찬란한날          이용호(기수)         양호               
    35조  16     원더풀캣          세카(외국인/트랙라이더) 양호               
    35조  18     황금해            이용호(기수)         윤승불량           
    35조  19     하니              김옥성(기수)         양호               
    35조  24     불의꽃            임다빈(기수)         양호               
    37조  1      프라임라벨        최용혁(주로조교)     양호               
    37조  8      주얼리베스트      김태훈(기수)         양호               
    37조  10     감곡선샤인        김태훈(기수)         양호               
    37조  16     나이스존          김태훈(기수)         양호               
    37조  28     파인데이          양현우(주로조교)     양호               
    40조  3      스마트파워        김태희(기수)         양호               
    40조  15     자이언트킬링      송재철(기수)         윤승불량           
    40조  23     파이널참          김판옥(주로조교)     양호               
    40조  27     제이트로스        유승완(기수)         양호               
    41조  1      희망워리어        이혁(기수)           출발자세불량       
    41조  5      소호승리          정선호(외국인/트랙라이더) 진입불량           
    41조  11     금빛천하          임다빈(기수)         양호               
    41조  13     논스톱기상        노한울(주로조교)     양호               
    41조  15     알사이먼          장추열(기수)         양호               
    42조  4      금아스위프트      송재철(기수)         양호               
    42조  5      성은크라운        빅투아르(기수)       양호               
    42조  40     해피드림          김아현(기수)         양호               
    48조  22     원더풀위크        최범현(기수)         양호               
    50조  19     시리우스에이      김덕현(기수)         진입불량           
    50조  신마   문학토스코        문희성(주로조교)     출발불량           
    51조  10     디자이어투윈      오수철(기수)         진입불량           
    51조  25     피엔에스번쩍      오수철(기수)         양호               
    51조  33     누리데이          이상무(외국인/트랙라이더) 양호               
    52조  2      한강질주          박태종(기수)         양호               
    52조  4      해피홀리데이      조한별(기수)         양호               
    52조  6      루나실버          지하주(기수)         양호               
    52조  9      트로트퀸          김준영(외국인/트랙라이더) 양호               
    52조  13     배다리쾌검        김준영(외국인/트랙라이더) 출발자세불량       
    52조  21     그로우            김희중(주로조교)     양호               
    52조  40     토호스카이        김준영(외국인/트랙라이더) 진입불량           
    52조  신마   지니어스퀸        김희중(주로조교)     진입불량           
    52조  신마   태평무            김희중(주로조교)     진입불량           
    53조  11     러피언파크        오수철(기수)         양호               
    53조  13     대박스타          안토니오(기수)       진입불량           
    53조  19     브라운            이상무(외국인/트랙라이더) 양호               
    53조  23     올가림            김태훈(기수)         양호               
    53조  39     나올킹            김현수(주로조교)     양호               
    53조  신마   비단주머니        조재로(기수)         양호               
    54조  30     베스트선          송재철(기수)         양호               
