

제목 : 2022년 12월 07일 출발조교현황

---------------------------------------------------------------------
   소속조 조번   마명              기승자               비고 
---------------------------------------------------------------------
     1조  2      라온퍼스트        최범현(기수)         양호               
     1조  11     탑퀄리티          김혜선(기수)         양호               
     1조  20     라온더하이맨      최범현(기수)         양호               
     1조  27     라온더파이터      문세영(기수)         양호               
     1조  29     문학시바          윤기묵(주로조교)     양호               
     1조  32     메티스선더        송재철(기수)         양호               
     2조  2      드럼메이저        성낙일(주로조교)     출발불량           
     2조  8      옥동공주          임다빈(기수)         양호               
     2조  17     그랜드대로        박병윤(기수)         양호               
     4조  21     검은질주          오수철(기수)         출발자세불량       
     6조  6      위너콜            오수철(기수)         양호               
     6조  13     새내황제          이성옥(주로조교)     진입불량           
     6조  18     문학이든          임다빈(기수)         진입불량           
     6조  19     내길의별          정선호(외국인/트랙라이더) 진입불량           
     6조  37     안양폭격기        이호석(주로조교)     양호               
     6조  38     미스샤프          이용호(기수)         양호               
     7조  4      그린불패          신용대(주로조교)     양호               
     7조  10     트롤              임다빈(기수)         진입불량           
     8조  4      발베니            신용민(주로조교)     진입불량           
     9조  19     마루마            문세영(기수)         양호               
     9조  21     온포인트          이동하(기수)         양호               
     9조  38     절대가치          장별(주로조교)       양호               
    10조  8      네이비크롬        이동국(기수)         양호               
    10조  20     슈프림스타        이동국(기수)         양호               
    10조  25     스마티파이터      하영웅(외국인/트랙라이더) 양호               
    10조  31     퀸톱              함완식(기수)         양호               
    12조  21     슈어윈            조재로(기수)         양호               
    14조  12     사려니로키        김귀배(기수)         진입불량           
    14조  34     청계기상          김정준(기수)         양호               
    15조  11     젤로스            박인철(주로조교)     양호               
    15조  16     함평여왕          하리(외국인/트랙라이더) 양호               
    19조  2      한강질주          박태종(기수)         양호               
    19조  3      빅토리샘          문정균(기수)         양호               
    19조  5      원더풀화성        함완식(기수)         양호               
    20조  1      클럽디            지하주(기수)         진입불량           
    20조  5      머니지프          황순도(기수)         양호               
    20조  6      다울퀸            아난드(외국인/트랙라이더) 양호               
    20조  7      보스베이비        아난드(외국인/트랙라이더) 양호               
    20조  12     신한특송          이동하(기수)         진입불량           
    20조  20     이노퀸            지하주(기수)         양호               
    20조  21     원더풀폭스        아난드(외국인/트랙라이더) 양호               
    21조  7      바디스타          손현길(주로조교)     출발불량           
    21조  16     하이파크          황순도(기수)         양호               
    21조  26     성실인동          문병기(조교사)       출발자세불량       
    21조  29     누리태양          손현길(주로조교)     출발불량           
    21조  36     성실롱런          박규창(주로조교)     출발불량           
    22조  3      한가위선물        이동하(기수)         양호               
    22조  신마   미스터퀄리티      조한별(기수)         진입불량           
    22조  신마   악동아르고        로드리고(외국인/트랙라이더) 양호               
    22조  신마   스텔스박          박근(주로조교)       양호               
    22조  신마   집시퀸            정하백(주로조교)     양호               
    22조  신마   당당한선택        박근(주로조교)       출발자세불량       
    22조  신마   신의블루          조상범(기수)         양호               
    23조  3      블랙이글스        아야르(외국인/트랙라이더) 양호               
    23조  8      피엔에스헐        아야르(외국인/트랙라이더) 출발불량           
    23조  24     월드참            김용근(기수)         양호               
    24조  36     온더록스          안용찬(주로조교)     양호               
