

제목 : 2022년 06월 23일 출발조교현황

---------------------------------------------------------------------
   소속조 조번   마명              기승자               비고 
---------------------------------------------------------------------
    42조  12     방탄여걸          하정훈(기수)         출발자세불량       
    42조  13     엔비전사          조한별(기수)         양호               
    42조  19     콩코드스파크      안토니오(기수)       양호               
    42조  34     청산강호          먼로(기수)           양호               
    49조  3      에이원스타        김태훈(기수)         양호               
    49조  7      강력한지금        김태훈(기수)         출발자세불량       
    49조  25     에펠탑            남기철(주로조교)     양호               
    50조  6      국향              정정희(기수)         양호               
    50조  16     쾌향              김현준(주로조교)     양호               
    50조  22     골드파워          김효정(기수)         출발자세불량       
    50조  36     금성세계          김현준(주로조교)     진입불량           
    51조  5      티즈데이          하정훈(기수)         양호               
    51조  21     스포블레이드      김봉희(주로조교)     양호               
    52조  3      슈팅리버스        지하주(기수)         양호               
    52조  4      볼트맨            송재철(기수)         양호               
    52조  9      트로트퀸          김정준(기수)         양호               
    52조  23     하이퍼카          송재철(기수)         양호               
    52조  37     글로리앤아너      김준영(주로조교)     진입불량           
    52조  39     스피어킹          지하주(기수)         양호               
    53조  8      미르스톰          조한별(기수)         양호               
    53조  35     나올대왕          김현수(주로조교)     양호               
    54조  31     정우포에버        김효정(기수)         양호               
    54조  33     승승파워          박현우(기수)         양호               
    54조  34     황금천지          박현우(기수)         양호               
    54조  35     마의웨이          이용근(주로조교)     양호               
