

제목 : 2022년 12월 08일 출발조교현황

---------------------------------------------------------------------
   소속조 조번   마명              기승자               비고 
---------------------------------------------------------------------
     1조  2      라온퍼스트        최범현(기수)         양호               
     1조  9      에이펙스          박태종(기수)         양호               
     1조  15     라온아메리칸      유현명(기수)         양호               
     1조  18     라온더찰리        최범현(기수)         양호               
     1조  24     문학젠야타        최범현(기수)         양호               
     1조  37     라온시티걸        문세영(기수)         양호               
     2조  2      드럼메이저        성낙일(주로조교)     양호               
     2조  5      클레어파워        오수철(기수)         양호               
     2조  8      옥동공주          임다빈(기수)         출발자세불량       
     2조  17     그랜드대로        박병윤(기수)         진입불량           
     2조  20     사랑다모아        조상범(기수)         양호               
     3조  13     블루아치          장세현(주로조교)     양호               
     3조  20     김천영웅          장세현(주로조교)     양호               
     5조  21     골드케이          이동수(주로조교)     양호               
     6조  4      원평축제          김창환(주로조교)     양호               
     6조  5      배다리공주        유승완(기수)         진입불량           
     6조  9      원펀치            이호석(주로조교)     양호               
     6조  13     새내황제          이성옥(주로조교)     양호               
     6조  14     용비퀸            조상범(기수)         진입불량           
     6조  22     용비서울          이혁(기수)           양호               
     6조  39     새내윈            이혁(기수)           출발자세불량       
     6조  40     그린스파크        김창환(주로조교)     진입불량           
     7조  15     사려니퀸          신용대(주로조교)     양호               
     7조  25     매직모카신        오수철(기수)         양호               
     7조  30     그린스펙터        조재로(기수)         양호               
     9조  4      히든브레인        이동하(기수)         양호               
     9조  5      컴플리트스텝      빅투아르(기수)       양호               
     9조  22     중추부사          김용근(기수)         양호               
    10조  25     스마티파이터      하영웅(외국인/트랙라이더) 양호               
    10조  26     승부사            임다빈(기수)         양호               
    10조  40     알찬누리          임다빈(기수)         양호               
    12조  2      검이불루          송재철(기수)         양호               
    12조  8      브레인스피더      조재로(기수)         출발자세불량       
    13조  12     논스톱선더        김준영(외국인/트랙라이더) 양호               
    14조  12     사려니로키        김귀배(기수)         진입불량           
    14조  13     체크포인트        김옥성(기수)         양호               
    14조  31     고스트참          안토니오(기수)       양호               
    15조  10     정상킹덤          백윤진(주로조교)     양호               
    15조  11     젤로스            조재로(기수)         양호               
    15조  16     함평여왕          쿠날(외국인/트랙라이더) 양호               
    16조  6      언패럴렐드        최봉주(조교사)       양호               
    16조  15     코스모            유승완(기수)         양호               
    16조  20     쌍옥루            임다빈(기수)         양호               
    16조  28     케이엔포스트      문세영(기수)         양호               
    19조  1      햇무리            함완식(기수)         진입불량           
    19조  13     한강보스          이상규(기수)         양호               
    19조  26     나올천지          문세영(기수)         출발자세불량       
    19조  27     머니스톤          쿠날(외국인/트랙라이더) 양호               
    20조  14     돌콩              지하주(기수)         양호               
    20조  20     이노퀸            지하주(기수)         양호               
    20조  21     원더풀폭스        아난드(외국인/트랙라이더) 양호               
    21조  7      바디스타          손현길(주로조교)     진입불량           
    21조  8      마파람            오수철(기수)         양호               
    21조  13     미르베스트        유승완(기수)         양호               
    21조  15     베스트타임        송재철(기수)         양호               
    21조  26     성실인동          문병기(조교사)       진입불량           
    21조  36     성실롱런          방춘식(기수)         양호               
    22조  21     원더루키          로드리고(외국인/트랙라이더) 양호               
