

제목 : 2022년 11월 10일 출발조교현황

---------------------------------------------------------------------
   소속조 조번   마명              기승자               비고 
---------------------------------------------------------------------
     1조  8      문학럭키          송재환(주로조교)     출발자세불량       
     1조  18     라온더찰리        최범현(기수)         양호               
     1조  24     문학젠야타        정선호(외국인/트랙라이더) 양호               
     1조  32     메티스선더        보파나(외국인/트랙라이더) 진입불량           
     2조  3      금성탈환          다비드(기수)         양호               
     2조  13     미르포인트        다비드(기수)         양호               
     2조  15     베스트빅뱅        오수철(기수)         양호               
     2조  16     쏘아라가가        성낙일(주로조교)     양호               
     3조  3      월드플레이        장세현(주로조교)     양호               
     3조  26     피엔에스더킹      장세현(주로조교)     양호               
     4조  17     바로퀸            김아현(기수)         양호               
     5조  7      코브라볼          이혁(기수)           출발자세불량       
     5조  8      한강스카이        이동수(주로조교)     양호               
     5조  12     티즈블랙          김옥성(기수)         양호               
     5조  13     선더타임          이동하(기수)         양호               
     5조  24     장비무지개        이동하(기수)         양호               
     5조  38     운외창천          이동하(기수)         양호               
     6조  4      원평축제          정선호(외국인/트랙라이더) 양호               
     6조  25     강한퀸            이혁(기수)           양호               
     6조  29     글로벌캐슬        김옥성(기수)         양호               
     6조  30     화이트위치        이성옥(주로조교)     양호               
     6조  37     연희사랑          이혁(기수)           양호               
     6조  신마   새로운빛깔        이성옥(주로조교)     양호               
     6조  신마   그린프로텍터      이호석(주로조교)     양호               
     7조  8      다나은로즈        송재철(기수)         양호               
     7조  11     이다나은          송재철(기수)         양호               
     7조  12     질풍한별          임다빈(기수)         양호               
     8조  22     송암누리          이현(주로조교)       양호               
     9조  4      히든브레인        정영훈(주로조교)     양호               
     9조  7      마이공주          김태현(주로조교)     양호               
     9조  16     베스퍼            김태현(주로조교)     양호               
     9조  18     톱티어            박승찬(주로조교)     양호               
    10조  5      영웅대마          임다빈(기수)         출발자세불량       
    10조  12     두손멍군          장추열(기수)         양호               
    10조  13     원평코드          안토니오(기수)       양호               
    10조  20     슈프림스타        장추열(기수)         양호               
    10조  21     문학스톰          장추열(기수)         양호               
    10조  23     작두콩            김동수(기수)         양호               
    10조  26     승부사            장추열(기수)         양호               
    10조  30     문학어플리트      하영웅(외국인/트랙라이더) 양호               
    10조  31     퀸톱              장추열(기수)         양호               
    10조  37     해들뫼            임다빈(기수)         양호               
    10조  40     알찬누리          임다빈(기수)         양호               
    11조  7      원더풀우먼        이동국(기수)         양호               
    11조  31     시선집중          강호원(외국인/트랙라이더) 양호               
    11조  39     보디가드          이형권(주로조교)     양호               
    12조  4      로드반            빅투아르(기수)       양호               
    12조  10     네버네버스톱      박지훈(주로조교)     양호               
    13조  23     샤크짱            김선태(주로조교)     양호               
    14조  13     체크포인트        방천형(주로조교)     진입불량           
    14조  28     유레카            김용근(기수)         진입불량           
    14조  33     헤이큐피드        김준영(외국인/트랙라이더) 출발자세불량       
    14조  34     청계기상          임다빈(기수)         양호               
    19조  13     한강보스          오수철(기수)         양호               
    19조  20     한강매직          아야르(외국인/트랙라이더) 양호               
    19조  27     머니스톤          이기회(기수)         양호               
    19조  29     메니에이스        이혁(기수)           양호               
