

제목 : 2022년 12월 14일 출발조교현황

---------------------------------------------------------------------
   소속조 조번   마명              기승자               비고 
---------------------------------------------------------------------
     2조  2      드럼메이저        성낙일(주로조교)     양호               
     3조  6      울프플레이        장세현(주로조교)     양호               
     3조  8      피엔에스별        아야르(외국인/트랙라이더) 양호               
     3조  12     클라우드퀸        이기회(기수)         양호               
     3조  21     한강차르          유승완(기수)         양호               
     3조  23     피엔에스얀        아야르(외국인/트랙라이더) 양호               
     4조  8      시크릿왕자        송석현(주로조교)     양호               
     5조  28     제타마스터        박태종(기수)         양호               
     5조  29     마에스트라        임택열(주로조교)     양호               
     5조  34     서울태양          이호행(주로조교)     양호               
     5조  35     금전사            조만근(외국인/트랙라이더) 양호               
     6조  11     강력한지금        김태응(주로조교)     양호               
     6조  13     새내황제          이성옥(주로조교)     양호               
     7조  4      그린불패          조만근(외국인/트랙라이더) 양호               
     7조  5      고마나루          임다빈(기수)         양호               
     7조  11     이다나은          송재철(기수)         양호               
     7조  19     골든플라잉        최원준(기수)         양호               
     9조  4      히든브레인        이동하(기수)         양호               
     9조  11     돈마              김태현(주로조교)     양호               
     9조  18     톱티어            박승찬(주로조교)     양호               
     9조  28     히든삭스          김태현(주로조교)     양호               
    10조  25     스마티파이터      하영웅(외국인/트랙라이더) 양호               
    11조  25     스마트그린        칸(외국인/트랙라이더) 양호               
    11조  27     투투키튼          김기원(주로조교)     양호               
    12조  3      원더풀데퓨티      김효정(기수)         양호               
    12조  13     선파이팅          박지훈(주로조교)     진입불량           
    13조  8      베스트클론        송재철(기수)         양호               
    14조  6      스카이망치        방천형(주로조교)     진입불량           
    16조  24     호크의영광        최봉주(조교사)       양호               
    16조  36     케이엔라이트      김동해(주로조교)     양호               
    19조  18     나올행복          조명안(주로조교)     양호               
    19조  20     한강매직          조명안(주로조교)     양호               
    19조  30     한강돌풍          쿠날(외국인/트랙라이더) 양호               
    20조  2      다이아키          황순도(기수)         양호               
    20조  11     농본바다          아난드(외국인/트랙라이더) 양호               
    20조  13     백색광채          지하주(기수)         양호               
    20조  19     킹덤스톰          황순도(기수)         양호               
    20조  20     이노퀸            지하주(기수)         양호               
    20조  21     원더풀폭스        아난드(외국인/트랙라이더) 진입불량           
    20조  22     우주의봄          김효정(기수)         양호               
    20조  30     빛의카            지하주(기수)         양호               
    20조  33     투게더웨이        지하주(기수)         양호               
    20조  39     머니가락          이동하(기수)         양호               
    21조  7      바디스타          송재철(기수)         양호               
    21조  14     엠제이베스트      박규창(주로조교)     양호               
    21조  16     하이파크          우재민(주로조교)     발진불량           
    21조  23     원더풀조이        강호원(외국인/트랙라이더) 양호               
    21조  25     새터데이          박규창(주로조교)     양호               
