

제목 : 2021년 05월 14일 출발조교현황

---------------------------------------------------------------------
   소속조 조번   마명              기승자               비고 
---------------------------------------------------------------------
     1조  5      닥터자이언츠      정도윤(기수)         양호               
     1조  14     마이티파워        정동철(기수)         양호               
     1조  15     아델스파이크      정동철(기수)         양호               
     1조  16     아델퓨펄          웰링턴(조교승인)     양호               
     1조  18     닥터페이스        서승운(기수)         양호               
     1조  22     영천어벤저        정동철(기수)         양호               
     1조  24     마크원            정동철(기수)         양호               
     1조  31     자메이카파워      정도윤(기수)         양호               
     1조  41     연승브라보        임성실(기수)         양호               
     2조  11     비케이마셜        유기현(조교승인)     진입불량           
     2조  35     비케이가이아      유기현(조교승인)     양호               
     4조  8      허니라이언        문영수(조교승인)     통과               
     4조  11     영광의특급        이정훈(조교보)       양호               
     4조  16     뷰티힐            문영수(조교승인)     양호               
     4조  22     영광의러너        김혜선(기수)         양호               
     4조  23     장산프라이드      페로비치(기수)       양호               
     4조  32     런스마일          박정우(조교승인)     진입불량           
     4조  35     해운대바다        김혜선(기수)         양호               
     4조  36     이스트벨          박재이(기수)         양호               
     4조  39     체인지백          임성실(기수)         양호               
     5조  1      제마포춘          김어수(기수)         양호               
     5조  4      오피서세상        김어수(기수)         양호               
     5조  7      스파이스인디      김태훈(기수)         진입불량           
     5조  10     원더워커          김태훈(기수)         양호               
     7조  2      최강마린          조창권(조교승인)     통과               
     7조  5      캐치더빅토리      조인권(기수)         양호               
     7조  21     맨오브더이어      홍환웅(조교승인)     통과               
     7조  24     퍼스트초이스      조인권(기수)         양호               
     7조  25     퀸의부활          자밀(조교승인)       양호               
     7조  30     퀸오브캡틴        조창권(조교승인)     양호               
     7조  32     광화문시대        홍환웅(조교승인)     양호               
     8조  1      미스고            김용식(조교승인)     통과               
     8조  6      무적불패          유현명(기수)         양호               
     8조  21     한라누리          정우주(기수)         양호               
     8조  22     천마파워          모준호(기수)         양호               
     8조  32     판타스틱여걸      양영남(조교보)       통과               
     8조  41     영광의시대        김어수(기수)         양호               
     8조  44     에이스포텐        양영남(조교보)       양호               
     9조  6      성산파워          이종석(조교보)       양호               
     9조  8      골드매직          김도현(기수)         양호               
     9조  18     어게인헬렌        정동철(기수)         양호               
     9조  19     금빛스카이        정동철(기수)         양호               
     9조  24     연승미소          최시대(기수)         양호               
