전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
"1착(1,3,7) / 2착(4) / 3착(6) 삼쌍","1,3,7",4,6,3,1837,1837,18,0.00979858464888405,551100.0,2433100.0,1882000.0,4.414988205407367,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250302 2R (11, 5, 3) @427.0 | 부산 20250418 7R (7, 9, 8) @45.0"
"1착(2~3,7) / 2착(4) / 3착(6) 삼쌍","2~3,7",4,6,3,1837,1837,8,0.004354926510615134,551100.0,2429300.0,1878200.0,4.4080929050988935,"부산 20250525 4R (11, 6, 9) @142.0 | 부산 20250824 6R (11, 3, 7) @212.0 | 부산 20250905 8R (5, 6, 2) @1842.0"
1착(3~4) / 2착(7) / 3착(5) 삼쌍,3~4,7,5,2,1837,1837,3,0.001633097441480675,367400.0,1605700.0,1238300.0,4.370440936309199,"부산 20250404 4R (12, 6, 5) @179.0 | 부산 20250810 7R (4, 3, 6) @1578.0 | 부산 20251107 3R (1, 3, 12) @14300.0"
1착(5) / 2착(8) / 3착(1) 삼쌍,5,8,1,1,1837,1837,3,0.001633097441480675,183700.0,802000.0,618300.0,4.365813826891671,"부산 20260227 7R (6, 4, 3) @212.0 | 서울 20250628 8R (11, 1, 8) @5490.0 | 서울 20251129 7R (8, 5, 10) @2318.0"
1착(3) / 2착(7~8) / 3착(5) 삼쌍,3,7~8,5,2,1837,1837,3,0.001633097441480675,367400.0,1603900.0,1236500.0,4.365541643984757,"부산 20250810 7R (4, 3, 6) @1578.0 | 부산 20251107 3R (1, 3, 12) @14300.0 | 서울 20250223 7R (1, 6, 3) @161.0"
"1착(3,6) / 2착(7) / 3착(5) 삼쌍","3,6",7,5,2,1837,1837,3,0.001633097441480675,367400.0,1603300.0,1235900.0,4.363908546543277,"부산 20250810 7R (4, 3, 6) @1578.0 | 부산 20251107 3R (1, 3, 12) @14300.0 | 서울 20250705 8R (4, 7, 3) @155.0"
"1착(8) / 2착(2) / 3착(1,7) 삼쌍",8,2,"1,7",2,1837,1837,6,0.00326619488296135,367400.0,1603000.0,1235600.0,4.363091997822536,"부산 20250110 4R (9, 3, 4) @5121.0 | 부산 20250119 6R (7, 8, 3) @4534.0 | 부산 20250718 7R (11, 5, 8) @857.0"
1착(3) / 2착(7) / 3착(5~6) 삼쌍,3,7,5~6,2,1837,1837,2,0.0010887316276537834,367400.0,1587800.0,1220400.0,4.321720195971693,"부산 20250810 7R (4, 3, 6) @1578.0 | 부산 20251107 3R (1, 3, 12) @14300.0"
1착(4) / 2착(3) / 3착(1) 삼쌍,4,3,1,1,1837,1837,7,0.003810560696788242,183700.0,793400.0,609700.0,4.318998366902559,"부산 20250309 1R (9, 12, 2) @80.0 | 부산 20250810 4R (3, 6, 7) @7464.0 | 부산 20250815 4R (3, 1, 6) @9.0"
"1착(1~2,7) / 2착(4) / 3착(6) 삼쌍","1~2,7",4,6,3,1837,1837,21,0.011431682090364725,551100.0,2378800.0,1827700.0,4.3164579931047,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250302 2R (11, 5, 3) @427.0 | 부산 20250418 7R (7, 9, 8) @45.0"
