전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
"1착(1~2) / 2착(4,6,8) / 3착(3,7) 삼쌍",1~2,"4,6,8","3,7",12,1837,1837,72,0.0391943385955362,2204400.0,1859400.0,-345000.0,0.8434948285247686,"부산 20250124 6R (10, 8, 3) @88.0 | 부산 20250420 5R (12, 8, 4) @53.0 | 부산 20250420 6R (9, 10, 8) @62.0"
"1착(2,5) / 2착(1,4) / 3착(3,6~7) 삼쌍","2,5","1,4","3,6~7",12,1837,1837,71,0.038649972781709306,2204400.0,1858200.0,-346200.0,0.8429504627109418,"부산 20250124 6R (10, 8, 3) @88.0 | 부산 20250126 6R (7, 3, 9) @26.0 | 부산 20250404 8R (7, 3, 10) @1898.0"
"1착(1,4,8) / 2착(3,5) / 3착(2,6) 삼쌍","1,4,8","3,5","2,6",12,1837,1837,77,0.041916167664670656,2204400.0,1840800.0,-363600.0,0.8350571584104518,"부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250221 9R (3, 8, 10) @210.0 | 부산 20250302 5R (12, 3, 7) @24.0"
"1착(1,3~4,6) / 2착(2) / 3착(5,7~8) 삼쌍","1,3~4,6",2,"5,7~8",12,1837,1837,70,0.03810560696788242,2204400.0,1837700.0,-366700.0,0.8336508800580656,"부산 20250228 5R (3, 1, 9) @901.0 | 부산 20250323 5R (8, 6, 12) @166.0 | 부산 20250406 4R (12, 9, 5) @275.0"
"1착(1,6) / 2착(2,4) / 3착(3,5,7) 삼쌍","1,6","2,4","3,5,7",12,1837,1837,101,0.054980947196516056,2204400.0,1835000.0,-369400.0,0.8324260569769552,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250117 7R (3, 9, 8) @312.0 | 부산 20250126 5R (6, 1, 12) @242.0"
"1착(1,5,8) / 2착(2,4) / 3착(3,6) 삼쌍","1,5,8","2,4","3,6",12,1837,1837,81,0.04409363091997823,2204400.0,1832000.0,-372400.0,0.8310651424423879,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250126 5R (6, 1, 12) @242.0"
"1착(1,7) / 2착(3~4,6) / 3착(2,5) 삼쌍","1,7","3~4,6","2,5",12,1837,1837,80,0.043549265106151334,2204400.0,1830800.0,-373600.0,0.830520776628561,"부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250119 3R (9, 8, 2) @40.0 | 부산 20250302 5R (12, 3, 7) @24.0"
"1착(1,3) / 2착(2,5) / 3착(4,7~8) 삼쌍","1,3","2,5","4,7~8",12,1837,1837,77,0.041916167664670656,2204400.0,1830000.0,-374400.0,0.8301578660860098,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250124 5R (8, 5, 10) @223.0 | 부산 20250207 5R (2, 6, 1) @38.0"
"1착(1,8) / 2착(3~4) / 3착(2,5~6) 삼쌍","1,8",3~4,"2,5~6",12,1837,1837,97,0.05280348394120849,2204400.0,1824000.0,-380400.0,0.8274360370168753,"부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250119 3R (9, 8, 2) @40.0"
"1착(1,6~7) / 2착(2,4) / 3착(3,8) 삼쌍","1,6~7","2,4","3,8",12,1837,1837,70,0.03810560696788242,2204400.0,1823800.0,-380600.0,0.8273453093812375,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250110 5R (11, 8, 5) @505.0 | 부산 20250117 7R (3, 9, 8) @312.0"
