전략명,1군,2군,3군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
"1군(1,3,8) / 2군(2,7) / 3군(4~6) 삼복","1,3,8","2,7",4~6,18,1837,1837,432,0.2351660315732172,3306600.0,2820600.0,-486000.0,0.8530212302667393,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250105 6R (4, 1, 5) @3.0 | 부산 20250117 7R (3, 9, 8) @49.0"
"1군(1,3~4) / 2군(2,6) / 3군(5,7~8) 삼복","1,3~4","2,6","5,7~8",18,1837,1837,419,0.22808927599346762,3306600.0,2820400.0,-486200.0,0.852960745176314,"부산 20250105 3R (11, 4, 12) @35.0 | 부산 20250110 3R (3, 6, 9) @37.0 | 부산 20250110 5R (11, 8, 5) @35.0"
"1군(1,4,6) / 2군(2,5) / 3군(3,7~8) 삼복","1,4,6","2,5","3,7~8",18,1837,1837,500,0.2721829069134458,3306600.0,2820100.0,-486500.0,0.8528700175406763,"부산 20250105 3R (11, 4, 12) @35.0 | 부산 20250105 5R (7, 8, 11) @25.0 | 부산 20250110 8R (7, 3, 8) @41.0"
"1군(1,4,6) / 2군(2,5) / 3군(3,7) 삼복","1,4,6","2,5","3,7",12,1837,1837,395,0.21502449646162222,2204400.0,1879700.0,-324700.0,0.8527036835420069,"부산 20250105 5R (7, 8, 11) @25.0 | 부산 20250110 8R (7, 3, 8) @41.0 | 부산 20250117 7R (3, 9, 8) @49.0"
"1군(1,5) / 2군(3,6) / 3군(4,7~8) 삼복","1,5","3,6","4,7~8",12,1837,1837,233,0.12683723462166577,2204400.0,1879600.0,-324800.0,0.852658319724188,"부산 20250110 6R (10, 6, 4) @120.0 | 부산 20250110 7R (6, 3, 8) @86.0 | 부산 20250117 4R (11, 2, 1) @76.0"
"1군(1,3) / 2군(2) / 3군(4,7) 삼복","1,3",2,"4,7",4,1837,1837,157,0.085465432770822,734800.0,626500.0,-108300.0,0.8526129559063691,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250105 6R (4, 1, 5) @3.0 | 부산 20250110 5R (11, 8, 5) @35.0"
"1군(1,5) / 2군(2,8) / 3군(4,6~7) 삼복","1,5","2,8","4,6~7",12,1837,1837,266,0.1448013064779532,2204400.0,1879400.0,-325000.0,0.8525675920885502,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250103 4R (10, 6, 12) @334.0 | 부산 20250105 2R (11, 3, 7) @125.0"
"1군(2,8) / 2군(3) / 3군(4~6) 삼복","2,8",3,4~6,6,1837,1837,158,0.08600979858464888,1102200.0,939600.0,-162600.0,0.8524768644529124,"부산 20250103 5R (5, 3, 12) @275.0 | 부산 20250103 6R (5, 8, 6) @371.0 | 부산 20250103 8R (10, 6, 2) @359.0"
"1군(1,8) / 2군(3,5) / 3군(4,7) 삼복","1,8","3,5","4,7",8,1837,1837,204,0.1110506260206859,1469600.0,1252800.0,-216800.0,0.8524768644529124,"부산 20250103 5R (5, 3, 12) @275.0 | 부산 20250103 6R (5, 8, 6) @371.0 | 부산 20250103 8R (10, 6, 2) @359.0"
"1군(1,4,6~7) / 2군(2,8) / 3군(3,5) 삼복","1,4,6~7","2,8","3,5",16,1837,1837,431,0.2346216657593903,2939200.0,2505300.0,-433900.0,0.8523747958628198,"부산 20250103 5R (5, 3, 12) @275.0 | 부산 20250103 6R (5, 8, 6) @371.0 | 부산 20250103 8R (10, 6, 2) @359.0"
"1군(1,5,8) / 2군(2~3,6) / 3군(4,7) 삼복","1,5,8","2~3,6","4,7",18,1837,1837,396,0.2155688622754491,3306600.0,2818300.0,-488300.0,0.8523256517268494,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250103 5R (5, 3, 12) @275.0 | 부산 20250103 6R (5, 8, 6) @371.0"
"1군(1,3~4) / 2군(2,6) / 3군(7~8) 삼복","1,3~4","2,6",7~8,12,1837,1837,225,0.12248230811105063,2204400.0,1878800.0,-325600.0,0.8522954091816367,"부산 20250105 3R (11, 4, 12) @35.0 | 부산 20250110 5R (11, 8, 5) @35.0 | 부산 20250119 6R (7, 8, 3) @298.0"
"1군(1~2,4,7) / 2군(3,8) / 3군(6) 삼복","1~2,4,7","3,8",6,8,1837,1837,140,0.07621121393576484,1469600.0,1252500.0,-217100.0,0.8522727272727273,"부산 20250117 7R (3, 9, 8) @49.0 | 부산 20250216 3R (7, 6, 11) @638.0 | 부산 20250221 4R (1, 10, 11) @263.0"
"1군(1,4,8) / 2군(2,6) / 3군(5,7) 삼복","1,4,8","2,6","5,7",12,1837,1837,252,0.1371801850843767,2204400.0,1878700.0,-325700.0,0.8522500453638178,"부산 20250110 3R (3, 6, 9) @37.0 | 부산 20250110 4R (9, 3, 4) @667.0 | 부산 20250124 6R (10, 8, 3) @14.0"
"1군(1) / 2군(2,7) / 3군(3,5~6) 삼복",1,"2,7","3,5~6",6,1837,1837,274,0.1491562329885683,1102200.0,939300.0,-162900.0,0.8522046815459989,"부산 20250105 5R (7, 8, 11) @25.0 | 부산 20250110 8R (7, 3, 8) @41.0 | 부산 20250124 8R (2, 4, 7) @69.0"
"1군(1,6) / 2군(2) / 3군(3~5,7) 삼복","1,6",2,"3~5,7",8,1837,1837,352,0.19161676646706588,1469600.0,1252400.0,-217200.0,0.8522046815459989,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250105 2R (11, 3, 7) @125.0 | 부산 20250105 5R (7, 8, 11) @25.0"
1군(1) / 2군(2~6) / 3군(7) 삼복,1,2~6,7,5,1837,1837,136,0.07403375068045727,918500.0,782700.0,-135800.0,0.8521502449646162,"부산 20250209 6R (8, 6, 4) @11.0 | 부산 20250316 4R (4, 1, 12) @18.0 | 부산 20250323 5R (8, 6, 12) @46.0"
"1군(1) / 2군(2,5~6) / 3군(7~8) 삼복",1,"2,5~6",7~8,6,1837,1837,147,0.08002177463255307,1102200.0,939200.0,-163000.0,0.852113953910361,"부산 20250105 3R (11, 4, 12) @35.0 | 부산 20250117 8R (7, 12, 4) @15.0 | 부산 20250119 6R (7, 8, 3) @298.0"
"1군(1) / 2군(2,5~7) / 3군(4) 삼복",1,"2,5~7",4,4,1837,1837,156,0.0849210669569951,734800.0,626100.0,-108700.0,0.8520685900925422,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250105 6R (4, 1, 5) @3.0 | 부산 20250110 7R (6, 3, 8) @86.0"
"1군(1) / 2군(2,4,6~8) / 3군(5) 삼복",1,"2,4,6~8",5,5,1837,1837,178,0.09689711486118671,918500.0,782600.0,-135900.0,0.8520413718018508,"부산 20250117 8R (7, 12, 4) @15.0 | 부산 20250207 7R (5, 3, 10) @35.0 | 부산 20250209 6R (8, 6, 4) @11.0"
"1군(1,3,5) / 2군(2,8) / 3군(4,6~7) 삼복","1,3,5","2,8","4,6~7",18,1837,1837,403,0.21937942297223734,3306600.0,2817100.0,-489500.0,0.851962741184298,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250103 4R (10, 6, 12) @334.0 | 부산 20250103 5R (5, 3, 12) @275.0"
"1군(1,3,6) / 2군(2,4,7) / 3군(5,8) 삼복","1,3,6","2,4,7","5,8",18,1837,1837,372,0.2025040827436037,3306600.0,2817000.0,-489600.0,0.8519324986390855,"부산 20250103 4R (10, 6, 12) @334.0 | 부산 20250103 5R (5, 3, 12) @275.0 | 부산 20250103 6R (5, 8, 6) @371.0"
"1군(1~2,4,8) / 2군(3,5,7) / 3군(6) 삼복","1~2,4,8","3,5,7",6,12,1837,1837,209,0.11377245508982035,2204400.0,1877900.0,-326500.0,0.8518871348212665,"부산 20250105 2R (11, 3, 7) @125.0 | 부산 20250117 7R (3, 9, 8) @49.0 | 부산 20250221 4R (1, 10, 11) @263.0"
"1군(1,4,7) / 2군(2,6) / 3군(5,8) 삼복","1,4,7","2,6","5,8",12,1837,1837,261,0.14207947740881874,2204400.0,1877500.0,-326900.0,0.8517056795499909,"부산 20250105 3R (11, 4, 12) @35.0 | 부산 20250110 3R (3, 6, 9) @37.0 | 부산 20250110 4R (9, 3, 4) @667.0"
"1군(1,6) / 2군(2) / 3군(3,7~8) 삼복","1,6",2,"3,7~8",6,1837,1837,242,0.1317365269461078,1102200.0,938600.0,-163600.0,0.8515695880965342,"부산 20250105 3R (11, 4, 12) @35.0 | 부산 20250105 5R (7, 8, 11) @25.0 | 부산 20250110 8R (7, 3, 8) @41.0"
"1군(1,4~5) / 2군(2,8) / 3군(3,6) 삼복","1,4~5","2,8","3,6",12,1837,1837,335,0.1823625476320087,2204400.0,1877100.0,-327300.0,0.8515242242787153,"부산 20250103 5R (5, 3, 12) @275.0 | 부산 20250103 6R (5, 8, 6) @371.0 | 부산 20250103 8R (10, 6, 2) @359.0"
"1군(1,8) / 2군(2) / 3군(3~5) 삼복","1,8",2,3~5,6,1837,1837,260,0.14153511159499182,1102200.0,938500.0,-163700.0,0.8514788604608964,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250105 5R (7, 8, 11) @25.0 | 부산 20250105 6R (4, 1, 5) @3.0"
"1군(2,7) / 2군(3~4) / 3군(5,8) 삼복","2,7",3~4,"5,8",8,1837,1837,144,0.0783886771910724,1469600.0,1251200.0,-218400.0,0.8513881328252586,"부산 20250110 3R (3, 6, 9) @37.0 | 부산 20250207 9R (5, 3, 6) @20.0 | 부산 20250214 7R (9, 5, 12) @142.0"
