전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
"1착(1) / 2착(3,6~8) / 3착(2,5) 삼쌍",1,"3,6~8","2,5",8,1691,1691,77,0.04553518628030751,1352800.0,1665900.0,313100.0,1.2314458900059138,"부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250117 8R (7, 12, 4) @135.0 | 부산 20250302 5R (12, 3, 7) @24.0"
"1착(1,3) / 2착(2) / 3착(4~5,7~8) 삼쌍","1,3",2,"4~5,7~8",8,1691,1691,74,0.04376108811354228,1352800.0,1664400.0,311600.0,1.2303370786516854,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250124 5R (8, 5, 10) @223.0 | 부산 20250228 5R (3, 1, 9) @901.0"
"1착(1~2) / 2착(3,7) / 3착(4,6,8) 삼쌍",1~2,"3,7","4,6,8",12,1691,1691,81,0.047900650502661145,2029200.0,2492400.0,463200.0,1.228267297457126,"부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250404 3R (10, 8, 12) @153.0 | 부산 20250427 6R (7, 8, 3) @319.0"
"1착(1) / 2착(3,7) / 3착(2,4~6,8) 삼쌍",1,"3,7","2,4~6,8",10,1691,1691,99,0.058545239503252515,1691000.0,2076800.0,385800.0,1.2281490242460082,"부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250302 5R (12, 3, 7) @24.0"
"1착(1~2) / 2착(3,7~8) / 3착(4,6) 삼쌍",1~2,"3,7~8","4,6",12,1691,1691,78,0.046126552335895916,2029200.0,2491400.0,462200.0,1.2277744924108023,"부산 20250103 4R (10, 6, 12) @1708.0 | 부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250314 7R (6, 11, 9) @66.0"
"1착(1,4) / 2착(2~3) / 3착(5~6) 삼쌍","1,4",2~3,5~6,8,1691,1691,82,0.04849201655824956,1352800.0,1659900.0,307100.0,1.2270106445890006,"부산 20250221 9R (3, 8, 10) @210.0 | 부산 20250309 3R (10, 8, 11) @440.0 | 부산 20250321 8R (3, 5, 2) @58.0"
"1착(1) / 2착(3~4,6) / 3착(2,5,8) 삼쌍",1,"3~4,6","2,5,8",9,1691,1691,86,0.0508574807806032,1521900.0,1867300.0,345400.0,1.2269531506669296,"부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250119 3R (9, 8, 2) @40.0 | 부산 20250302 5R (12, 3, 7) @24.0"
"1착(2) / 2착(1,4,6~8) / 3착(3,5) 삼쌍",2,"1,4,6~8","3,5",10,1691,1691,74,0.04376108811354228,1691000.0,2073500.0,382500.0,1.2261975162625665,"부산 20250110 3R (3, 6, 9) @127.0 | 부산 20250119 5R (9, 1, 4) @1895.0 | 부산 20250321 6R (12, 8, 7) @1089.0"
"1착(1) / 2착(2~4,6~7) / 3착(5,8) 삼쌍",1,"2~4,6~7","5,8",10,1691,1691,84,0.04967474866942637,1691000.0,2073200.0,382200.0,1.22602010644589,"부산 20250309 3R (10, 8, 11) @440.0 | 부산 20250404 6R (4, 11, 3) @112.0 | 부산 20250406 4R (12, 9, 5) @275.0"
"1착(1~2) / 2착(4,6) / 3착(3,5,8) 삼쌍",1~2,"4,6","3,5,8",12,1691,1691,92,0.054405677114133646,2029200.0,2487400.0,458200.0,1.2258032722255077,"부산 20250110 3R (3, 6, 9) @127.0 | 부산 20250321 6R (12, 8, 7) @1089.0 | 부산 20250406 5R (3, 12, 2) @1848.0"
"1착(1) / 2착(3~5,8) / 3착(2,7) 삼쌍",1,"3~5,8","2,7",8,1691,1691,71,0.041986989946777055,1352800.0,1656400.0,303600.0,1.2244234180958014,"부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250119 3R (9, 8, 2) @40.0 | 부산 20250302 5R (12, 3, 7) @24.0"
"1착(1) / 2착(3,7) / 3착(2,4~5) 삼쌍",1,"3,7","2,4~5",6,1691,1691,72,0.04257835600236547,1014600.0,1241700.0,227100.0,1.2238320520402128,"부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250302 5R (12, 3, 7) @24.0"
"1착(1) / 2착(3,7) / 3착(2,4,6,8) 삼쌍",1,"3,7","2,4,6,8",8,1691,1691,77,0.04553518628030751,1352800.0,1655100.0,302300.0,1.2234624482554701,"부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250302 5R (12, 3, 7) @24.0"
"1착(1) / 2착(4~5,8) / 3착(2~3,6) 삼쌍",1,"4~5,8","2~3,6",9,1691,1691,90,0.05322294500295683,1521900.0,1861900.0,340000.0,1.2234049543333991,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250119 3R (9, 8, 2) @40.0 | 부산 20250302 2R (11, 5, 3) @427.0"
"1착(1) / 2착(3~4,6,8) / 3착(2,5,7) 삼쌍",1,"3~4,6,8","2,5,7",12,1691,1691,104,0.06150206978119456,2029200.0,2482500.0,453300.0,1.2233885274985217,"부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250117 8R (7, 12, 4) @135.0 | 부산 20250119 3R (9, 8, 2) @40.0"
"1착(1) / 2착(2~3,5~6) / 3착(4,7) 삼쌍",1,"2~3,5~6","4,7",8,1691,1691,74,0.04376108811354228,1352800.0,1654800.0,302000.0,1.2232406859846245,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250302 6R (12, 3, 6) @82.0"
"1착(1) / 2착(3~5,8) / 3착(2,6~7) 삼쌍",1,"3~5,8","2,6~7",12,1691,1691,111,0.06564163217031342,2029200.0,2481300.0,452100.0,1.2227971614429332,"부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250119 3R (9, 8, 2) @40.0"
"1착(1) / 2착(2,4~5) / 3착(3,7~8) 삼쌍",1,"2,4~5","3,7~8",9,1691,1691,88,0.05204021289178001,1521900.0,1860600.0,338700.0,1.2225507589197713,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250126 5R (6, 1, 12) @242.0 | 부산 20250323 5R (8, 6, 12) @166.0"
"1착(1,6) / 2착(3) / 3착(2,4~5,7~8) 삼쌍","1,6",3,"2,4~5,7~8",10,1691,1691,76,0.0449438202247191,1691000.0,2067000.0,376000.0,1.2223536369012418,"부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250302 5R (12, 3, 7) @24.0"
"1착(1) / 2착(2,5,7) / 3착(3~4,8) 삼쌍",1,"2,5,7","3~4,8",9,1691,1691,93,0.05499704316972206,1521900.0,1859000.0,337100.0,1.2214994414876141,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250126 5R (6, 1, 12) @242.0"
